"d","sed","v","fsed","fv"
0.542,0.274,0.075076,0.269079064076427,0.0724035427242459
0.559,0.306,0.093636,0.295828629977339,0.0875145783142695
0.419,0.201,0.040401,0.212676169968257,0.045231153272367
0.651,0.262,0.068644,0.25786915585051,0.0664965015390548
0.474,0.201,0.040401,0.212676169968257,0.045231153272367
0.52,0.259,0.067081,0.25786915585051,0.0664965015390548
0.696,0.32,0.1024,0.305087179134776,0.0930781868724146
0.597,0.282,0.079524,0.277721399377863,0.0771291756723987
0.616,0.288,0.082944,0.280055594070819,0.0784311357703592
0.711,0.32,0.1024,0.305087179134776,0.0930781868724146
0.435,0.291,0.084681,0.345918880961671,0.119659872205774
0.586,0.274,0.075076,0.269079064076427,0.0724035427242459
0.64,0.283,0.080089,0.275460111147116,0.0758782728331818
0.541,0.239,0.057121,0.241370924067204,0.058259922985056
0.54,0.182,0.033124,0.197629305734914,0.0390573424852641
0.4,0.237,0.056169,0.241370924067204,0.058259922985056
0.563,0.241,0.058081,0.24269679499522,0.058901734300952
0.447,0.227,0.051529,0.232869129309139,0.0542280313851964
0.561,0.226,0.051076,0.230663518728851,0.0532056588723749
0.637,0.214,0.045796,0.220851483996557,0.0487753779834816
1.013,0.331,0.109561,0.305087179134776,0.0930781868724146
0.636,0.283,0.080089,0.275460111147116,0.0758782728331818
0.571,0.256,0.065536,0.254522207475483,0.0647815540981929
0.414,0.204,0.041616,0.21498299943862,0.0462176900476257
0.625,0.261,0.068121,0.25786915585051,0.0664965015390548
