"d","sed","v","fsed","fv"
0.08,0.244948974,0.06,0.256798787425575,0.0659456172232456
0.27,0.2,0.04,0.213166067399723,0.0454397722906631
-0.05,0.1,0.01,0.0680761322821922,0.00463435978650253
-0.08,0.223606798,0.05,0.219694625619265,0.0482657285259888
0.07,0.223606798,0.05,0.219694625619265,0.0482657285259888
0.05,0.331662479,0.11,0.336501077309926,0.113232975030741
0.49,0.282842712,0.08,0.295131227354946,0.0871024413600371
0.03,0.3,0.09,0.301568699224984,0.0909436803522489
0.3,0.244948974,0.06,0.256798787425575,0.0659456172232456
0.54,0.244948974,0.06,0.25472014288176,0.0648823511897043
-0.11,0.264575131,0.07,0.272824287228087,0.074433091701514
0.12,0.282842712,0.08,0.283354332708036,0.0802896778644162
0.61,0.316227766,0.1,0.292056602448391,0.0852970590336976
0.48,0.316227766,0.1,0.295131227354946,0.0871024413600371
0.63,0.3,0.09,0.298300264750091,0.0889830479499741
0.22,0.282842712,0.08,0.289071748903751,0.0835624760142733
0.86,0.264575131,0.07,0.209495829785832,0.0438885026976545
0.24,0.173205081,0.03,0.173465754247584,0.0300903678966832
-0.19,0.244948974,0.06,0.25472014288176,0.0648823511897043
0.04,0.264575131,0.07,0.263333595297742,0.069344582412435
-0.34,0.264575131,0.07,0.263333595297742,0.069344582412435
-0.25,0.223606798,0.05,0.223885531157144,0.0501247310615164
-0.67,0.282842712,0.08,0.272824287228087,0.074433091701514
-0.17,0.331662479,0.11,0.336501077309926,0.113232975030741
0.66,0.360555128,0.13,0.351012945469007,0.123210087886828
0.17,0.3,0.09,0.312026113469636,0.0973602954869663
0.47,0.316227766,0.1,0.319604903090571,0.102147294079533
-0.7,0.282842712,0.08,0.275352141485072,0.0758188018204149
0.41,0.2,0.04,0.205993174461757,0.042433187924832
0.58,0.316227766,0.1,0.315750110069526,0.0996981320089176
-0.15,0.1,0.01,0.0976915126861606,0.00954363165091028
0.04,0.282842712,0.08,0.295131227354946,0.0871024413600371
0.4,0.223606798,0.05,0.232974908850425,0.0542773081538636
0.54,0.223606798,0.05,0.219694625619265,0.0482657285259888
0.66,0.282842712,0.08,0.289071748903751,0.0835624760142733
1.26,0.3,0.09,0.280613951629647,0.0787441898492059
0.6,0.244948974,0.06,0.237920403244399,0.0566061182799773
0.44,0.2,0.04,0.186987285307346,0.0349642448666107
0.54,0.264575131,0.07,0.265618341551541,0.0705531033685913
0.35,0.2,0.04,0.202645483636766,0.0410651920383788
0.23,0.1,0.01,0.094263486453116,0.00888560487829678
0.3,0.141421356,0.02,0.140963668261679,0.0198707557697886
0.33,0.282842712,0.08,0.289071748903751,0.0835624760142733
0.58,0.331662479,0.11,0.332036697701926,0.1102483686208
0,0.244948974,0.06,0.25472014288176,0.0648823511897043
0.79,0.264575131,0.07,0.25472014288176,0.0648823511897043
0.59,0.3,0.09,0.298300264750091,0.0889830479499741
0.84,0.331662479,0.11,0.327739214210562,0.107412992531357
0.53,0.282842712,0.08,0.292056602448391,0.0852970590336976
0.57,0.244948974,0.06,0.244993278407682,0.060021706464944
0.36,0.2,0.04,0.211923196800916,0.0449114413423196
0.44,0.223606798,0.05,0.222464175905463,0.0494903095612967
0.35,0.316227766,0.1,0.327739214210562,0.107412992531357
0.16,0.282842712,0.08,0.292056602448391,0.0852970590336976
0.25,0.173205081,0.03,0.158134400856821,0.0250064887343459
0.42,0.244948974,0.06,0.248757287876094,0.06188018827147
0.98,0.244948974,0.06,0.234591453460906,0.0550331500369005
0.62,0.2,0.04,0.194393306073365,0.037788757446133
0.6,0.223606798,0.05,0.209495829785832,0.0438885026976545
0.56,0.244948974,0.06,0.228304968818483,0.0521231587872085
0.39,0.223606798,0.05,0.228304968818483,0.0521231587872085
0.46,0.244948974,0.06,0.228304968818483,0.0521231587872085
0.56,0.244948974,0.06,0.252688158288032,0.0638513053389975
-0.29,0.360555128,0.13,0.367502257684808,0.135057909403431
-0.04,0.2,0.04,0.211923196800916,0.0449114413423196
-0.02,0.3,0.09,0.315750110069526,0.0996981320089176
0.01,0.244948974,0.06,0.256798787425575,0.0659456172232456
0.73,0.316227766,0.1,0.312026113469636,0.0973602954869663
0.55,0.2,0.04,0.209495829785832,0.0438885026976545
0.86,0.387298335,0.15,0.379832702244189,0.144272881694123
0.29,0.223606798,0.05,0.234591453460906,0.0550331500369005
0.53,0.223606798,0.05,0.226805132761931,0.0514405682471573
-0.04,0.316227766,0.1,0.327739214210562,0.107412992531357
0.83,0.331662479,0.11,0.327739214210562,0.107412992531357
0.6,0.223606798,0.05,0.217017995256184,0.0470968102650132
-0.24,0.223606798,0.05,0.217017995256184,0.0470968102650132
0.48,0.244948974,0.06,0.244993278407682,0.060021706464944
0.26,0.173205081,0.03,0.168604613679466,0.028427515754002
0.71,0.2,0.04,0.19246847331608,0.0370441132206226
0.91,0.458257569,0.21,0.455479157718557,0.207461263116006
0.89,0.479583152,0.23,0.479199984368136,0.229632625018422
0.6,0.374165739,0.14,0.386467339289186,0.149357004337263
1.1,0.509901951,0.26,0.492509816614347,0.242565919461497
0.57,0.360555128,0.13,0.373519433180448,0.139516766963443
-0.42,0.264575131,0.07,0.261103515876848,0.0681750460032516
0,0.1,0.01,0.11288963002223,0.012744068566556
0.38,0.223606798,0.05,0.222464175905463,0.0494903095612967
0.44,0.264575131,0.07,0.261103515876848,0.0681750460032516
-0.3,0.223606798,0.05,0.234591453460906,0.0550331500369005
0.41,0.244948974,0.06,0.252688158288032,0.0638513053389975
0.29,0.244948974,0.06,0.248757287876094,0.06188018827147
